date,time,name,original_poster
2022-10-12,03:50,tina,really
2022-10-12,03:50,dylan,NA
2022-10-12,03:50,terence,daily
2022-10-12,03:50,bluechiptalent,florida
2022-10-12,03:50,fernando,NA
2022-10-12,03:50,zyzz,james
2022-10-12,03:50,lensatic,bernebrown
2022-10-12,03:50,bob,kirk
2022-10-12,03:50,kajal,NA
2022-10-12,03:50,mark,NA
2022-10-12,03:50,recovering,tom
2022-10-12,03:50,patrick,cernovich
2022-10-12,03:50,steve,james
2022-10-12,03:50,bchs,NA
2022-10-12,03:50,john,greg
2022-10-12,03:50,ahmf,NA
2022-10-12,03:50,stibos,greg
2022-10-12,03:50,respect,kevin
2022-10-12,03:50,von,NA
2022-10-12,03:50,user,breaking
2022-10-12,03:50,stevenlp,NA
2022-10-12,03:50,tyrone,NA
2022-10-12,03:50,khent,NA
2022-10-12,03:50,trenton,NA
2022-10-12,03:50,maxcat,NA
2022-10-12,03:50,common,friends
2022-10-12,03:50,hopey,daniel
2022-10-12,03:50,gbh,NA
2022-10-12,03:50,verifavia,NA
2022-10-12,03:50,thomas,NA
2022-10-12,03:50,tplori,greg
2022-10-12,03:50,benita,molly
2022-10-12,03:50,kahurangi,drd
2022-10-12,03:50,justin,NA
2022-10-12,03:50,rowan,mike
2022-10-12,03:50,elaine,sandra
2022-10-12,03:50,edward,NA
2022-10-12,03:50,alicia,NA
2022-10-12,03:50,respect,NA
2022-10-12,03:50,justin,NA
2022-10-12,03:50,name,uproxx
2022-10-12,03:50,david,NA
2022-10-12,03:50,yes,NA
2022-10-12,03:50,fiona,NA
2022-10-12,03:50,nazam,NA
2022-10-12,03:50,gameday,jason
2022-10-12,03:50,don,NA
2022-10-12,03:50,bestdan,NA
2022-10-12,03:50,bryn,NA
2022-10-12,03:50,not,NA
2022-10-12,03:50,dustin,NA
2022-10-12,03:50,midwestmom,NA
2022-10-12,03:50,nell,NA
2022-10-12,03:50,ozbushie,NA
2022-10-12,03:50,mark,NA
2022-10-12,03:50,climate,NA
2022-10-12,03:50,kushan,jason
2022-10-12,03:50,happymarch,hearvoicesoutthere
2022-10-12,03:50,betterzim,NA
2022-10-12,03:50,hex,rep
2022-10-12,04:00,max,NA
2022-10-12,04:00,amazon,rainforest
2022-10-12,04:00,news,NA
2022-10-12,04:00,haaretzcom,NA
2022-10-12,04:00,decentamerican,daily
2022-10-12,04:00,craig,NA
2022-10-12,04:00,saudi,NA
2022-10-12,04:00,atmosphere,NA
2022-10-12,04:00,newslaundry,NA
2022-10-12,04:00,mdrajuknft,mmfinance
2022-10-12,04:00,ekovio,NA
2022-10-12,04:00,david,avi
2022-10-12,04:00,keith,kat
2022-10-12,04:00,paddyryan,NA
2022-10-12,04:00,david,NA
2022-10-12,04:00,angellica,NA
2022-10-12,04:00,janet,NA
2022-10-12,04:00,time,NA
2022-10-12,04:00,johann,NA
2022-10-12,04:00,blakely,NA
2022-10-12,04:00,that,buffy
2022-10-12,04:00,renaissance,daily
2022-10-12,04:00,michael,townhallcom
2022-10-12,04:00,martin,magpie
2022-10-12,04:00,status,NA
2022-10-12,04:00,frank,ava
2022-10-12,04:00,anne,townhallcom
2022-10-12,04:00,grover,NA
2022-10-12,04:00,trytothink,NA
2022-10-12,04:00,thornky,rep
2022-10-12,04:00,protocol,NA
2022-10-12,04:00,hex,daily
2022-10-12,04:00,world,NA
2022-10-12,04:00,berlin,ben
2022-10-12,04:00,elise,NA
2022-10-12,04:00,fifthgenalbertan,seb
2022-10-12,04:00,scar,NA
2022-10-12,04:00,soccersitrep,NA
2022-10-12,04:00,hispanosinc,NA
2022-10-12,04:00,luis,reuters
2022-10-12,04:00,the,NA
2022-10-12,04:00,thevoiceofxr,NA
2022-10-12,04:00,diane,catch
2022-10-12,04:00,tony,NA
2022-10-12,04:00,dlynhm,ultra
2022-10-12,04:00,naomi,NA
2022-10-12,04:00,swoly,NA
2022-10-12,04:00,vampire,rep
2022-10-12,04:00,phillip,kevin
2022-10-12,04:00,nevada,wildlife
2022-10-12,04:00,peddi,NA
2022-10-12,04:00,wayne,NA
2022-10-12,04:00,bobsn,jason
2022-10-12,04:00,colin,NA
2022-10-12,04:00,peaceapocalypsefollowus,uproxx
2022-10-12,04:00,moonlitmonkeyeth,NA
2022-10-12,04:00,eduardo,ahead
2022-10-12,04:00,david,lynda
2022-10-12,04:00,ladylisadcantu,world
2022-10-12,04:00,david,jacob
2022-10-12,04:00,mikeofboston,chris
2022-10-12,04:00,lonyanew,NA
2022-10-12,04:00,bebing,kevin
2022-10-12,04:00,libsoftitter,NA
2022-10-12,04:00,solos,NA
2022-10-12,04:00,siyeon,uproxx
2022-10-12,04:00,elizabeth,NA
2022-10-12,04:00,daily,NA
2022-10-12,04:00,conservation,NA
2022-10-12,04:00,mark,NA
2022-10-12,04:00,von,NA
2022-10-12,04:00,bcps,katie
2022-10-12,04:00,orange,NA
2022-10-12,04:00,bitcoin,bolulasun
2022-10-12,04:00,david,lynda
2022-10-12,04:00,waldus,kevin
2022-10-12,04:00,tracey,city
2022-10-12,04:00,reg,sophie
2022-10-12,04:00,dennis,unacceptable
2022-10-12,04:00,zarkaish,take
2022-10-12,04:00,kevin,avi
2022-10-12,04:00,eric,NA
2022-10-12,04:00,the,NA
2022-10-12,04:00,paul,mike
2022-10-12,04:00,evineyard,NA
2022-10-12,04:00,bedford,NA
2022-10-12,04:00,medieval,NA
2022-10-12,04:00,scottpalmer,NA
2022-10-12,04:00,putaenlared,lina
2022-10-12,04:00,andrew,avi
2022-10-12,04:00,opulence,NA
2022-10-12,04:00,anderson,anderson
2022-10-12,04:00,amy,christopher
2022-10-12,04:00,brett,jmheatherly
2022-10-12,04:00,linley,NA
2022-10-12,04:00,red,NA
2022-10-12,04:00,rocky,NA
2022-10-12,04:00,sara,restore
2022-10-12,04:00,michael,NA
2022-10-12,04:00,mitzi,marshall
2022-10-12,04:00,reuters,NA
2022-10-12,04:00,erdian,NA
2022-10-12,04:00,lesley,channel
