date,time,name,original_poster
2022-10-09,08:30,claude,NA
2022-10-09,08:30,greg,tansu
2022-10-09,08:30,arjun,NA
2022-10-09,08:30,darkbrandon,joe
2022-10-09,08:30,bee,NA
2022-10-09,08:30,millwall,NA
2022-10-09,08:30,nick,NA
2022-10-09,08:30,indigene,NA
2022-10-09,08:30,ben,brian
2022-10-09,08:30,gog,NA
2022-10-09,08:30,peggy,joe
2022-10-09,08:30,susan,joe
2022-10-09,08:30,quinten,NA
2022-10-09,08:30,andro,NA
2022-10-09,08:30,bryt,finance
2022-10-09,08:30,eon,wall
2022-10-09,08:30,left,NA
2022-10-09,08:30,terrence,joe
2022-10-09,08:30,north,NA
2022-10-09,08:30,greenifex,NA
2022-10-09,08:30,faith,koulla
2022-10-09,08:30,mandynaerys,NA
2022-10-09,08:30,mike,NA
2022-10-09,08:30,tickle,NA
2022-10-09,08:30,lozzatheangel,NA
2022-10-09,08:30,mike,NA
2022-10-09,08:30,gold,NA
2022-10-09,08:30,sibel,NA
2022-10-09,08:30,sushma,palki
2022-10-09,08:30,andy,NA
2022-10-09,08:30,one,xobrang
2022-10-09,08:30,naughty,NA
2022-10-09,08:30,pune,west
2022-10-09,08:30,river,tansu
2022-10-09,08:30,litbitlens,NA
2022-10-09,08:30,arkadiusz,NA
2022-10-09,08:30,political,joe
2022-10-09,08:30,mary,joe
2022-10-09,08:30,alexander,NA
2022-10-09,08:30,garry,shivam
2022-10-09,08:30,james,NA
2022-10-09,08:30,supremesavages,carl
2022-10-09,08:30,the,jericho
2022-10-09,08:30,stocks,sunil
2022-10-09,08:30,chrisfuckingmanson,simply
2022-10-09,08:30,maple,NA
2022-10-09,08:30,oba,NA
2022-10-09,08:30,waterdrop,NA
2022-10-09,08:30,frenchie,emre
2022-10-09,08:30,broken,NA
2022-10-09,08:30,arvind,kashmir
2022-10-09,08:30,moonshot,NA
2022-10-09,08:30,lester,lark
2022-10-09,08:30,john,peter
2022-10-09,08:30,okjulie,ultra
2022-10-09,08:30,ddbank,emre
2022-10-09,08:30,kathryn,samuel
2022-10-09,08:30,justjoe,NA
2022-10-09,08:30,akikorbxs,navaro
2022-10-09,08:30,sgrtuc,NA
2022-10-09,08:30,zeraphine,phony
2022-10-09,08:30,carl,lauren
2022-10-09,08:30,akikorbxs,navaro
2022-10-09,08:30,mustafa,imran
2022-10-09,08:30,terrence,NA
2022-10-09,08:30,martin,NA
2022-10-09,08:30,mike,NA
2022-10-09,08:30,sibel,NA
2022-10-09,08:30,abel,mario
2022-10-09,08:30,kathleen,NA
2022-10-09,08:30,stubby,NA
2022-10-09,08:30,babjipv,prashant
2022-10-09,08:30,baebeedeepee,provee
2022-10-09,08:30,prof,NA
2022-10-09,08:30,aline,joe
2022-10-09,08:30,tradewithufos,marketwatch
2022-10-09,08:30,lichfield,NA
2022-10-09,08:30,dementiajoe,NA
2022-10-09,08:30,rod,NA
2022-10-09,08:30,crypto,NA
2022-10-09,08:30,ujjal,NA
2022-10-09,08:30,steve,fox
2022-10-09,08:30,just,NA
2022-10-09,08:30,huang,NA
2022-10-09,08:30,buybyebooks,telegraph
2022-10-09,08:30,johan,richard
2022-10-09,08:30,cindy,NA
2022-10-09,08:30,louis,chosen
2022-10-09,08:30,scott,NA
2022-10-09,08:30,the,NA
2022-10-09,08:30,goldorak,NA
2022-10-09,08:30,tyakaa,NA
2022-10-09,08:30,ernie,NA
2022-10-09,08:30,aniq,malik
2022-10-09,08:30,hem,NA
2022-10-09,08:30,jamie,jon
2022-10-09,08:30,bitcoinismysafeword,lark
2022-10-09,08:30,martin,brk
2022-10-09,08:30,nigel,child
2022-10-09,08:30,pasi,NA
2022-10-09,08:30,cryptonow,carl
2022-10-09,08:30,ltrarobert,uos
2022-10-09,08:30,emmanuel,NA
2022-10-09,08:30,orama,NA
2022-10-09,08:30,dilbarkhan,NA
2022-10-09,08:30,msbee,NA
2022-10-09,08:30,kikm,tansu
2022-10-09,08:30,eulalia,NA
2022-10-09,08:30,journalists,NA
2022-10-09,08:30,akikorbxs,katanarbxs
2022-10-09,08:30,magdy,fox
